,Parameters,Depth,Embedding Dim,Mean (ms),Median (ms),IQR (ms)
0,22056576,12,384,3.389854783898259,3.1765094999993693,0.21481000000012074
1,86580480,12,768,7.451625041666702,7.450924849999652,0.1143647750000195
2,304368640,24,1024,21.68358615718145,21.5619030000056,0.3852279999989605
3,1136480768,40,1536,75.04434343925246,74.8775890000033,0.41218599999837124
